Date,Variable,Value
01/01/2019,KBP1008M,309826
01/01/2019,KBP1123M,113761
01/01/2019,KBP1132M,5514657
01/01/2019,KBP1166M,3318908
01/01/2019,KBP1347M,3683549
01/01/2019,KBP1486M,10.25
01/02/2019,KBP1008M,314252
01/02/2019,KBP1123M,114842
01/02/2019,KBP1132M,5533788
01/02/2019,KBP1166M,3347104
01/02/2019,KBP1347M,3712523
01/02/2019,KBP1486M,10.25
01/03/2019,KBP1008M,299291
01/03/2019,KBP1123M,116136
01/03/2019,KBP1132M,5648725
01/03/2019,KBP1166M,3383149
01/03/2019,KBP1347M,3743571
01/03/2019,KBP1486M,10.25
01/04/2019,KBP1008M,297354
01/04/2019,KBP1123M,117336
01/04/2019,KBP1132M,5680642
01/04/2019,KBP1166M,3414952
01/04/2019,KBP1347M,3771045
01/04/2019,KBP1486M,10.25
01/05/2019,KBP1008M,283547
01/05/2019,KBP1123M,118142
01/05/2019,KBP1132M,5731187
01/05/2019,KBP1166M,3410649
01/05/2019,KBP1347M,3772293
01/05/2019,KBP1486M,10.25
01/06/2019,KBP1008M,293625
01/06/2019,KBP1123M,114781
01/06/2019,KBP1132M,5792691
01/06/2019,KBP1166M,3413598
01/06/2019,KBP1347M,3781772
01/06/2019,KBP1486M,10.25
01/07/2019,KBP1008M,290418
01/07/2019,KBP1123M,115313
01/07/2019,KBP1132M,5797730
01/07/2019,KBP1166M,3425335
01/07/2019,KBP1347M,3787783
01/07/2019,KBP1486M,10
01/08/2019,KBP1008M,302353
01/08/2019,KBP1123M,117768
01/08/2019,KBP1132M,5892249
01/08/2019,KBP1166M,3453406
01/08/2019,KBP1347M,3839480
01/08/2019,KBP1486M,10
01/09/2019,KBP1008M,373154
01/09/2019,KBP1123M,118679
01/09/2019,KBP1132M,5894980
01/09/2019,KBP1166M,3462261
01/09/2019,KBP1347M,3836929
01/09/2019,KBP1486M,10
01/10/2019,KBP1008M,364801
01/10/2019,KBP1123M,118859
01/10/2019,KBP1132M,5913044
01/10/2019,KBP1166M,3477726
01/10/2019,KBP1347M,3852696
01/10/2019,KBP1486M,10
01/11/2019,KBP1008M,354871
01/11/2019,KBP1123M,118856
01/11/2019,KBP1132M,5883561
01/11/2019,KBP1166M,3486423
01/11/2019,KBP1347M,3863288
01/11/2019,KBP1486M,10
01/12/2019,KBP1008M,349918
01/12/2019,KBP1123M,119773
01/12/2019,KBP1132M,5882469
01/12/2019,KBP1166M,3484159
01/12/2019,KBP1347M,3870083
01/12/2019,KBP1486M,10
01/01/2020,KBP1008M,359426
01/01/2020,KBP1123M,122110
01/01/2020,KBP1132M,5916356
01/01/2020,KBP1166M,3480848
01/01/2020,KBP1347M,3871392
01/01/2020,KBP1486M,9.75
01/02/2020,KBP1008M,362104
01/02/2020,KBP1123M,123135
01/02/2020,KBP1132M,6070618
01/02/2020,KBP1166M,3509157
01/02/2020,KBP1347M,3907756
01/02/2020,KBP1486M,9.75
01/03/2020,KBP1008M,394295
01/03/2020,KBP1123M,128441
01/03/2020,KBP1132M,6578128
01/03/2020,KBP1166M,3566099
01/03/2020,KBP1347M,4033515
01/03/2020,KBP1486M,8.75
01/04/2020,KBP1008M,371075
01/04/2020,KBP1123M,137739
01/04/2020,KBP1132M,6613978
01/04/2020,KBP1166M,3559380
01/04/2020,KBP1347M,4039057
01/04/2020,KBP1486M,7.75
01/05/2020,KBP1008M,361199
01/05/2020,KBP1123M,146497
01/05/2020,KBP1132M,6537062
01/05/2020,KBP1166M,3524212
01/05/2020,KBP1347M,4008542
01/05/2020,KBP1486M,7.25
01/06/2020,KBP1008M,349455
01/06/2020,KBP1123M,155307
01/06/2020,KBP1132M,6530513
01/06/2020,KBP1166M,3499429
01/06/2020,KBP1347M,3995117
01/06/2020,KBP1486M,7.25
01/07/2020,KBP1008M,397079
01/07/2020,KBP1123M,158463
01/07/2020,KBP1132M,6529111
01/07/2020,KBP1166M,3508076
01/07/2020,KBP1347M,3982346
01/07/2020,KBP1486M,7
01/08/2020,KBP1008M,363027
01/08/2020,KBP1123M,160887
01/08/2020,KBP1132M,6531473
01/08/2020,KBP1166M,3519906
01/08/2020,KBP1347M,3988073
01/08/2020,KBP1486M,7
01/09/2020,KBP1008M,339162
01/09/2020,KBP1123M,163380
01/09/2020,KBP1132M,6499927
01/09/2020,KBP1166M,3479431
01/09/2020,KBP1347M,3956602
01/09/2020,KBP1486M,7
01/10/2020,KBP1008M,316502
01/10/2020,KBP1123M,164138
01/10/2020,KBP1132M,6529390
01/10/2020,KBP1166M,3511727
01/10/2020,KBP1347M,3977665
01/10/2020,KBP1486M,7
01/11/2020,KBP1008M,326036
01/11/2020,KBP1123M,163772
01/11/2020,KBP1132M,6539343
01/11/2020,KBP1166M,3525137
01/11/2020,KBP1347M,3993755
01/11/2020,KBP1486M,7
01/12/2020,KBP1008M,314599
01/12/2020,KBP1123M,172265
01/12/2020,KBP1132M,6566095
